log,total_states,total_events,filter name,filter setting,events after filter,states after filter,events p%
Challenge 2018,1200627,2514266,Partition Frequency Filter,0.0,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.0E-9,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.6E-8,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.6E-8,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,6.4E-8,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.0E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.44E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.96E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.56E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.24E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.0E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.84E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,5.76E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,6.76E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,7.84E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,9.0E-7,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.024E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.156E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.296E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.444E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.6E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.764E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.936E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.116E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.304E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.5E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.704E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.916E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.136E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.364E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.6E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.844E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.096E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.356E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.624E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.9E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,5.184E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,5.476E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,5.776E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,6.084E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,6.4E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,6.724E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,7.056E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,7.396E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,7.744E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,8.1E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,8.464E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,8.836E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,9.216E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,9.604E-6,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.0E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.0404E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.0816E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.1236E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.1664E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.21E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.2544E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.2996E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.3456E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.3924E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.44E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.4884E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.5376E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.5876E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.6384E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.69E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.7424E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.7956E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.8496E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.9044E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,1.96E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.0164E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.0736E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.1316E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.1904E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.25E-5,2514266,1200627,100.00000000
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.3104E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.3716E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.4336E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.4964E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.56E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.6244E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.6896E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.7556E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.8224E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.89E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,2.9584E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.0276E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.0976E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.1684E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.24E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.3124E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.3856E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.4596E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.5344E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.61E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.6864E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.7636E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.8416E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,3.9204E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.0E-5,1259572,50338,50.09700656
Challenge 2018,1200627,2514266,Partition Frequency Filter,4.0804E-5,1259572,50338,50.09700656
