log,total_states,total_events,filter name,filter setting,events after filter,states after filter,events p%
Sepsis,6636,15214,Partition Frequency Filter,0.0,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,6.25E-9,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.5E-8,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,5.625E-8,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.0E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.5625E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.25E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,3.0625E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,4.0E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,5.0625E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,6.25E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,7.5625E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,9.0E-7,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.05625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.225E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.40625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.6E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.80625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.025E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.25625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.5E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.75625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,3.025E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,3.30625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,3.6E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,3.90625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,4.225E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,4.55625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,4.9E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,5.25625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,5.625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,6.00625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,6.4E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,6.80625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,7.225E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,7.65625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,8.1E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,8.55625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,9.025E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,9.50625E-6,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.0E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.050625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.1025E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.155625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.21E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.265625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.3225E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.380625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.44E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.500625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.5625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.625625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.69E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.755625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.8225E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.890625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,1.96E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.030625E-5,15214,6636,1.00
Sepsis,6636,15214,Partition Frequency Filter,2.1025E-5,15214,6636,1.00
