log,total_states,total_events,filter name,filter setting,events after filter,states after filter,events p%
Sepsis,6636,15214,Partition Frequency Filter,0.0,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.0E-9,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.6E-8,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,3.6E-8,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,6.4E-8,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.0E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.44E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.96E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,2.56E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,3.24E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.0E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.84E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,5.76E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,6.76E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,7.84E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,9.0E-7,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.024E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.156E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.296E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.444E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.6E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.764E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.936E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,2.116E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,2.304E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,2.5E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,2.704E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,2.916E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,3.136E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,3.364E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,3.6E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,3.844E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.096E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.356E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.624E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,4.9E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,5.184E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,5.476E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,5.776E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,6.084E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,6.4E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,6.724E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,7.056E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,7.396E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,7.744E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,8.1E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,8.464E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,8.836E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,9.216E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,9.604E-6,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.0E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.0404E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.0816E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.1236E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.1664E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.21E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.2544E-5,15214,6636,100.00000000
Sepsis,6636,15214,Partition Frequency Filter,1.2996E-5,15214,6636,100.00000000
